Theta in X-Y plane [radians]     Phi from X-Y plane [radians]      Area [m^2]
-1.745329e-01 -8.726646e-02 1.374712e+00
-1.727876e-01 -8.726646e-02 1.369211e+00
-1.710423e-01 -8.726646e-02 1.363679e+00
-1.692969e-01 -8.726646e-02 1.358135e+00
-1.675516e-01 -8.726646e-02 1.352578e+00
-1.658063e-01 -8.726646e-02 1.346998e+00
-1.640609e-01 -8.726646e-02 1.341399e+00
-1.623156e-01 -8.726646e-02 1.335782e+00
-1.605703e-01 -8.726646e-02 1.330146e+00
-1.588250e-01 -8.726646e-02 1.324475e+00
-1.570796e-01 -8.726646e-02 1.318774e+00
-1.553343e-01 -8.726646e-02 1.313022e+00
-1.535890e-01 -8.726646e-02 1.307206e+00
-1.518436e-01 -8.726646e-02 1.301384e+00
-1.500983e-01 -8.726646e-02 1.295482e+00
-1.483530e-01 -8.726646e-02 1.289526e+00
-1.466077e-01 -8.726646e-02 1.283510e+00
-1.448623e-01 -8.726646e-02 1.277426e+00
-1.431170e-01 -8.726646e-02 1.271278e+00
-1.413717e-01 -8.726646e-02 1.265047e+00
-1.396263e-01 -8.726646e-02 1.258624e+00
-1.378810e-01 -8.726646e-02 1.252116e+00
-1.361357e-01 -8.726646e-02 1.245535e+00
-1.343904e-01 -8.726646e-02 1.238856e+00
-1.326450e-01 -8.726646e-02 1.232136e+00
-1.308997e-01 -8.726646e-02 1.225417e+00
-1.291544e-01 -8.726646e-02 1.218700e+00
-1.274090e-01 -8.726646e-02 1.211957e+00
-1.256637e-01 -8.726646e-02 1.205228e+00
-1.239184e-01 -8.726646e-02 1.198501e+00
-1.221730e-01 -8.726646e-02 1.191755e+00
-1.204277e-01 -8.726646e-02 1.185007e+00
-1.186824e-01 -8.726646e-02 1.178267e+00
-1.169371e-01 -8.726646e-02 1.171512e+00
-1.151917e-01 -8.726646e-02 1.164753e+00
-1.134464e-01 -8.726646e-02 1.158001e+00
-1.117011e-01 -8.726646e-02 1.151240e+00
-1.099557e-01 -8.726646e-02 1.144475e+00
-1.082104e-01 -8.726646e-02 1.137699e+00
-1.064651e-01 -8.726646e-02 1.130989e+00
-1.047198e-01 -8.726646e-02 1.124368e+00
-1.029744e-01 -8.726646e-02 1.117853e+00
-1.012291e-01 -8.726646e-02 1.111399e+00
-9.948377e-02 -8.726646e-02 1.105102e+00
-9.773844e-02 -8.726646e-02 1.098975e+00
-9.599311e-02 -8.726646e-02 1.092924e+00
-9.424778e-02 -8.726646e-02 1.086961e+00
-9.250245e-02 -8.726646e-02 1.081088e+00
-9.075712e-02 -8.726646e-02 1.075282e+00
-8.901179e-02 -8.726646e-02 1.069560e+00
-8.726646e-02 -8.726646e-02 1.063918e+00
-8.552113e-02 -8.726646e-02 1.058633e+00
-8.377580e-02 -8.726646e-02 1.054843e+00
-8.203047e-02 -8.726646e-02 1.053359e+00
-8.028515e-02 -8.726646e-02 1.051844e+00
-7.853982e-02 -8.726646e-02 1.050287e+00
-7.679449e-02 -8.726646e-02 1.048713e+00
-7.504916e-02 -8.726646e-02 1.047123e+00
-7.330383e-02 -8.726646e-02 1.045484e+00
-7.155850e-02 -8.726646e-02 1.043816e+00
-6.981317e-02 -8.726646e-02 1.042139e+00
-6.806784e-02 -8.726646e-02 1.040631e+00
-6.632251e-02 -8.726646e-02 1.039484e+00
-6.457718e-02 -8.726646e-02 1.038585e+00
-6.283185e-02 -8.726646e-02 1.037932e+00
-6.108652e-02 -8.726646e-02 1.037513e+00
-5.934119e-02 -8.726646e-02 1.037442e+00
-5.759587e-02 -8.726646e-02 1.037437e+00
-5.585054e-02 -8.726646e-02 1.037444e+00
-5.410521e-02 -8.726646e-02 1.037447e+00
-5.235988e-02 -8.726646e-02 1.037450e+00
-5.061455e-02 -8.726646e-02 1.037451e+00
-4.886922e-02 -8.726646e-02 1.037430e+00
-4.712389e-02 -8.726646e-02 1.037407e+00
-4.537856e-02 -8.726646e-02 1.037389e+00
-4.363323e-02 -8.726646e-02 1.037380e+00
-4.188790e-02 -8.726646e-02 1.037350e+00
-4.014257e-02 -8.726646e-02 1.037339e+00
-3.839724e-02 -8.726646e-02 1.037299e+00
-3.665191e-02 -8.726646e-02 1.037264e+00
-3.490659e-02 -8.726646e-02 1.037244e+00
-3.316126e-02 -8.726646e-02 1.037211e+00
-3.141593e-02 -8.726646e-02 1.037154e+00
-2.967060e-02 -8.726646e-02 1.037121e+00
-2.792527e-02 -8.726646e-02 1.037074e+00
-2.617994e-02 -8.726646e-02 1.037025e+00
-2.443461e-02 -8.726646e-02 1.036998e+00
-2.268928e-02 -8.726646e-02 1.036941e+00
-2.094395e-02 -8.726646e-02 1.036860e+00
-1.919862e-02 -8.726646e-02 1.036826e+00
-1.745329e-02 -8.726646e-02 1.036729e+00
-1.570796e-02 -8.726646e-02 1.036665e+00
-1.396263e-02 -8.726646e-02 1.036623e+00
-1.221730e-02 -8.726646e-02 1.036542e+00
-1.047198e-02 -8.726646e-02 1.036456e+00
-8.726646e-03 -8.726646e-02 1.036397e+00
-6.981317e-03 -8.726646e-02 1.036323e+00
-5.235988e-03 -8.726646e-02 1.036225e+00
-3.490659e-03 -8.726646e-02 1.036069e+00
-1.745329e-03 -8.726646e-02 1.036087e+00
0.000000e+00 -8.726646e-02 1.036060e+00
1.745329e-03 -8.726646e-02 1.036087e+00
3.490659e-03 -8.726646e-02 1.036060e+00
5.235988e-03 -8.726646e-02 1.036238e+00
6.981317e-03 -8.726646e-02 1.036336e+00
8.726646e-03 -8.726646e-02 1.036395e+00
